Date,Agency,Address,City,Victim status,Count wounded,Count killed,Count wounded other,Count killed other,Description,Story link,Full address,Lat,Lng
"Jan 12, 2021",Lakewood Police Department,West Colfax Avenue and Garrison Street,Lakewood,Killed,,1,,,"Lakewood police on Wednesday identified the 32-year-old shot and killed by officers Tuesday afternoon, alleging that the suspect shot at law enforcement before they returned fire.",https://www.denverpost.com/2021/01/13/lakewood-police-shooting-suspect-id/,"West Colfax Avenue and Garrison Street, Lakewood CO",39.7401746,-105.1001345
"Jan 19, 2021",Greeley Police Department,3200 23rd Avenue,Evans,Killed,,1,,,The Weld County Critical Incident Response Team is investigating a Greeley police officer-involved shooting incident that occurred Tuesday afternoon in Evans.,https://www.denverpost.com/2021/01/19/police-investigating-officer-involved-shooting-in-evans/,"3200 23rd Avenue, Evans CO",40.3845223,-104.715455
"Jan 26, 2021",Adams County Sheriff,East 25th Avenue and Imboden Road,Adams County,Killed,,1,,,A woman was shot and killed by an Adams County Sheriff early Tuesday morning.,https://www.denverpost.com/2021/01/26/adams-county-police-shooting-car-chase/,"East 25th Avenue and Imboden Road, Adams County CO",39.7517464,-104.583353
"Mar 7, 2021",Mesa County Sheriff,400 Coronado Court,Clifton,Wounded,1,,,,At least one Mesa County Sheriff’s deputy shot a man Sunday morning during what police believed was an ongoing dispute between the man and a woman.,https://www.denverpost.com/2021/03/07/mesa-county-sheriff-shooting-grand-junction/,"400 Coronado Court, Clifton CO",39.08374239,-108.457151
"Mar 18, 2021",Elbert County Sheriff,9000 block of Colorado 86,Kiowa,Wounded,1,,,,Sgt. shot a man who was hiding and startled the sergeant. ,https://www.denverpost.com/2021/07/13/elbert-county-sheriff-shooting-no-criminal-charge/,"9000 block of Colorado 86, Kiowa CO",39.3519363,-104.495508
"Mar 21, 2021",Clear Creek County Sheriff's Office,1000 block of Morrison Lane,Empire,Killed,,1,,,"Clear Creek County deputies shot and killed a burglary suspect early Sunday morning. According to the sheriff’s office, as deputies approached, both suspects pulled out firearms. Deputies shot at both suspects, killing one, while the other fled into the woods.",https://www.thedenverchannel.com/news/local-news/clear-creek-deputies-shoot-at-armed-burglary-suspects-1-suspect-dead,"1000 block of Morrison Lane, Empire CO",39.7626434,-105.72643
"Mar 22, 2021",Boulder Police Department,3600 Table Mesa Drive,Boulder,Killed,1,1,,,"*We're including this incident because police were involved in the shooting, but are listing only the police officer as killed and the suspect as injured because the other nine victims weren't killed as a result of the incident being a police shooting.",https://www.denverpost.com/2021/03/22/police-active-shooter-shooting-king-soopers-boulder/,"3600 Table Mesa Drive, Boulder CO",39.9835951,-105.2511107
"Mar 26, 2021",Weld County Sheriff,26000 block of County Road 70,Eaton,Killed,,1,,,"After a foot pursuit, the man fired at least one round at the pursuing deputies, who returned fire and struck the suspect.",https://www.denverpost.com/2021/03/27/man-dies-weld-county-deputy-shooting/,"26000 block of County Road 70, Eaton CO",40.49512703,-104.64067
"Apr 1, 2021",Lakewood Police Department,10555 W. Jewell Ave.,Lakewood,Wounded,1,,,,"Lakewood police shot a man Thursday morning when he fired shots at officers from an apartment balcony, police said.",https://www.denverpost.com/2021/04/01/lakewood-police-shoot-man-waterfront-apartments/,"10555 W. Jewell Ave., Lakewood CO",39.68730602,-105.1186741
"Apr 3, 2021",Greeley Police Department,2100 block of 50th Avenue,Greeley,Wounded,1,,,,Greeley police shot and injured a man with a gun while responding to a burglary alarm early Saturday morning.,https://www.denverpost.com/2021/04/04/cirt-greeley-officers-shoot-injure-man-with-gun-while-responding-to-burglary-alarm/,"2100 block of 50th Avenue, Greeley CO",40.40460723,-104.7609849
"Apr 5, 2021",Colorado Springs Police Department,Delta Drive and South Chelton Road,Colorado Springs,Wounded,2,,,,"Two Colorado Springs police officers were justified in their use of deadly force when they returned gunfire at a vehicle, according to a review",https://www.denverpost.com/2021/10/01/colorado-springs-police-involved-shooting-ruling/,"Delta Drive and South Chelton Road, Colorado Springs CO",38.804964,-104.7591617
"Apr 17, 2021",Weld County Sheriff,Aristocrat Ranchettes,Weld County,Killed,,1,,,"Denver police fatally shot a man Friday afternoon in the Barnum neighborhood after he allegedly brandished a handgun at officers, officials said.",https://www.denverpost.com/2021/04/17/fatal-police-involved-shooting-weld-county/,"Aristocrat Ranchettes, Weld County CO",40.107708,-104.763106
"Apr 19, 2021","Fountain Police Department, Colorado State Patrol",Interstate 25 and North Academy Boulevard  ,Colorado Springs,Killed,,1,,,A man was shot dead by Fountain officer after a long highway chase.,https://www.denverpost.com/2021/04/21/colorado-springs-fatal-police-shooting/,"Interstate 25 and North Academy Boulevard  , Colorado Springs CO",38.9877545,-104.8019121
"Apr 20, 2021",Lakewood Police Department,West 3rd Avenue and Depew Street,Lakewood,Killed,,1,,,An armed man was shot dead by police Sgt.  ,https://www.denverpost.com/2021/04/20/fatal-police-shooting-armed-suspect-lakewood/,"West 3rd Avenue and Depew Street, Lakewood CO",39.7210634,-105.0587298
"Apr 22, 2021",Colorado Springs Police Department,500 Garden of the Gods Road,Colorado Springs,Killed,,1,,,"Colorado Springs police shot and killed a man carrying an AR-15 rifle on who disregarded orders to drop the weapon Thursday morning, police said.",https://www.denverpost.com/2021/04/22/colorado-springs-police-shooting/,"500 Garden of the Gods Road, Colorado Springs CO",38.89684713,-104.8316059
"May 1, 2021",Cañon City Police Department,3000 block of U.S. 50,Canon City,Killed,1,1,,,"Two Cañon City police officers killed one person and injured another in a shooting Saturday night, according to Cañon City police.",https://www.denverpost.com/2021/05/02/canon-city-police-shooting-one-killed-one-injured-highway-50/,"3000 block of U.S. 50, Canon City CO",38.44712834,-105.2008773
"May 14, 2021",Denver Police Department,West 1st Ave and Perry St,Denver,Killed,,1,,,"Denver police fatally shot a man Friday afternoon in the Barnum neighborhood after he allegedly brandished a handgun at officers, officials said.",https://www.denverpost.com/2021/05/14/police-officer-shoots-man-barnum-neighborhood/,"West 1st Ave and Perry St, Denver CO",39.718153,-105.0396997
"May 18, 2021",Englewood Police Department,1401 E. Girard Place,Englewood,Killed,,1,,,"Driver was shot after hitting and dragging officers with stolen vehicle, police said.",https://www.denverpost.com/2021/05/18/suspect-police-englewood-shooting/,"1401 E. Girard Place, Englewood CO",39.6552366,-104.9700187
"May 19, 2021",Denver Police Department,2600 S. Federal Blvd.,Denver,Killed,,1,,,A man wielding a knife was shot by a DPD officer. ,https://www.denverpost.com/2021/05/19/police-shooting-in-southwest-denver-may-19/,"2600 S. Federal Blvd., Denver CO",39.6701543,-105.0250131
"May 24, 2021",El Paso County Sheriff,Interstate 25 and Mesa Ridge Parkway,Fountain,Wounded,1,,,,A man is facing life-threatening injuries after he was shot by an El Paso County Sheriff’s deputy. The man and authorities were attempting to negotiate at Willow Springs Ponds in Fountain.,https://www.denverpost.com/2021/05/25/man-shot-el-paso-county-sheriffs-deputy/,"Interstate 25 and Mesa Ridge Parkway, Fountain CO",38.72454,-104.727727
"May 30, 2021",Denver Police Department,1300 block of West Alameda Avenue,Denver,Killed,,1,,,"Two Denver police officers shot a man who police say was carrying an “assault rifle,” near the 1300 block of West Alameda Avenue Sunday, according to a police spokesman. The man died Sunday night, police tweeted.",https://www.denverpost.com/2021/05/30/denver-police-shooting-alameda-lipan/,"1300 block of West Alameda Avenue, Denver CO",39.71096129,-105.0050495
"Jun 2, 2021",Arvada Police Department,8100 block of Garland Drive,Arvada,TBD,,1,,,Arvada police shot at a man they believed was involved in an armed robbery at a Target store early Wednesday morning.,https://www.denverpost.com/2021/06/02/arvada-police-shooting-target/,"8100 block of Garland Drive, Arvada CO",39.8446223,-105.1015802
"Jun 4, 2021",Denver Police Department,North Newport Street and East 38th Avenue,Denver,Killed,,1,,,"Denver police are investigating an officer-involved shooting that occurred in Northeast Park Hill on Friday just after 5:30 p.m., the department said.",https://www.denverpost.com/2021/06/04/denver-police-investigate-officer-involved-shooting-in-park-hill/,"North Newport Street and East 38th Avenue, Denver CO",39.7692712,-104.9094745
"Jun 13, 2021",Denver Police Department,Uinta Street and East Colfax Avenue,Denver,Killed,,1,,,Police were called around 5:30 p.m. about reports of a man shooting rounds into an unoccupied vehicle. Police said the man did not comply with commands and threatened officers with his gun.,https://www.denverpost.com/2021/06/14/denver-police-shooting-colfax/,"Uinta Street and East Colfax Avenue, Denver CO",39.7400995,-104.8928537
"Jun 14, 2021",Greeley Police Department,400 block of North 35th Avenue,Greeley,TBD,,,,,A 57-year-old Greely man was shot outside of his trailer Monday after the police report him being uncooperative with law enforcement.,https://www.denverpost.com/2021/06/15/greeley-police-shooting-2/,"400 block of North 35th Avenue, Greeley CO",40.4395463,-104.734916
"Jun 25, 2021",Grand Junction Police Department,750 Wellington Ave.,Grand Junction,Killed,,1,,,"Grand Junction police officers shot and killed a man Friday morning near St. Mary’s Medical Center, according to the Mesa County Sheriff’s Office.",https://www.denverpost.com/2021/06/25/officer-involved-shooting-grand-junction/,"750 Wellington Ave., Grand Junction CO",39.09104663,-108.5595652
"Jun 28, 2021",Aurora Police Department,14090 E. Evans Ave.,Aurora,Wounded,1,,,,A domestic violence suspect at an Aurora hotel was shot on Monday with a “less-lethal” shotgun and the suspect was taken to a local hospital to be treated.,https://www.denverpost.com/2021/06/29/aurora-suspect-shot-less-lethal-shotgun/,"14090 E. Evans Ave., Aurora CO",39.6789359,-104.8248796
"Jun 28, 2021",Commerce City Police Department,7500 block of Brighton Boulevard,Commerce City,Killed,,1,,,Commerce City police shot and killed a man Monday who authorities say was holding a knife when officers responded to a report of a family disturbance.,https://www.denverpost.com/2021/06/28/commerce-city-police-shooting/,"7500 block of Brighton Boulevard, Commerce City CO",39.83345127,-104.924321
"Jul 6, 2021",Aurora Police Department,15691 E Colfax Ave.,Aurora,Wounded,1,,,,"Two police officers and one suspect were injured following a standoff and shootout in Aurora on Tuesday night, officials said.",https://www.denverpost.com/2021/07/07/aurora-police-involved-shooting-standoff/,"15691 E Colfax Ave., Aurora CO",39.740609,-104.8056552
"Jul 13, 2021",Aurora Police Department,4200 block of Salida Way,Aurora,Wounded,1,,,,A shootout early Tuesday morning between a suspect and Aurora police at an apartment complex ended with the suspect in custody.,https://www.denverpost.com/2021/07/13/aurora-police-shootout-suspect-arrested/,"4200 block of Salida Way, Aurora CO",39.6385854,-104.7832096
"Jul 31, 2021",Arapahoe County Sheriff,5200 blockof South Jericho Street,Arapahoe County,Killed,,1,,,"A man who died in a shootout with Arapahoe County deputies late Saturday night, who was shot multiple times, has been identified.",https://www.denverpost.com/2021/08/03/arapahoe-county-deputies-shootout-man-identified/,"5200 blockof South Jericho Street, Arapahoe County CO",39.6225486,-104.7505011
"Aug 11, 2021",Adams County Sheriff,70th Avenue and Pecos Street,Adams County,Killed,,1,,,Sheriff’s deputies in Adams County were involved in a fatal shooting Wednesday evening.,https://www.denverpost.com/2021/08/11/adams-county-deputies-involved-shooting/,"70th Avenue and Pecos Street, Adams County CO",39.8236458,-105.0061953
"Sep 1, 2021",El Paso County Sheriff,Gollihar Road and Gollihar Court ,Peyton,Killed,,1,,,An armed man was shot dead by El Paso County sheriff’s deputies,https://www.denverpost.com/2021/09/02/el-paso-county-officer-involved-shooting/,"Gollihar Road and Gollihar Court , Peyton CO",39.0664941,-104.5110609
"Sep 2, 2021",Jefferson County Sheriff,Interstate 76 and Sheridan Boulevard,Jefferson County,Killed,,1,,,Man pulled gun on deputy and shots were fired. ,https://www.denverpost.com/2021/09/02/jefferson-county-interstate-76-police-involved-shooting/,"Interstate 76 and Sheridan Boulevard, Jefferson County CO",39.80837,-105.006157
"Sep 9, 2021",Westminster Police Department,5300 block of Billings Street,Denver,Killed,,1,,,Westminster police were attempting to take a shooting suspect into custody,https://www.denverpost.com/2021/09/04/westminster-police-involved-shooting-denver/,"5300 block of Billings Street, Denver CO",39.7904868,-104.8286843
"Sep 24, 2021",Eaton Police Department,1200 block of Aspen Court,Eaton,Wounded,1,,,,A man who police said was shot by Eaton officers in an exchange of gunfire has been identified and arrested.,https://www.denverpost.com/2021/11/05/levi-miller-officer-involved-shooting-eaton/,"1200 block of Aspen Court, Eaton CO",40.5302673,-104.7269643
"Oct 7, 2021",Colorado Springs Police Department,Maizeland Rd and N Academy blvd Road and North Academy Bouldevard,Colorado Springs,Wounded,1,,,,Detectives shoot a suspected bank robber who shot at them. ,https://www.denverpost.com/2021/10/19/colorado-springs-police-involved-shooting-robbery-suspect/,"Maizeland Rd and N Academy blvd Road and North Academy Bouldevard, Colorado Springs CO",38.8678561,-104.7572463
"Oct 20, 2021",Department of Corrections,1000 block of South Parker Road,Denver,Killed,,1,,,DOC officers shoot dead a man they say was armed and who was wanted on a parole violation,https://www.denverpost.com/2021/10/20/police-shooting-southeast-denver/,"1000 block of South Parker Road, Denver CO",39.6984178,-104.9030757
"Oct 28, 2021",Colorado Springs Police Department,1700 block of South Wasatch,Colorado Springs,Killed,,1,,,A police shooting investigation in Colorado Springs after an armed man was shot by an officer.,https://www.denverpost.com/2021/11/02/colorado-springs-officer-involved-shooting-death-2/,"1700 block of South Wasatch, Colorado Springs CO",38.8104686,-104.8191435
"Nov 18, 2021",Pueblo Police Department,1300 block of West 18th Street,Pueblo,Wounded,1,,,,A man who police say was armed was shot Wednesday by an officer in Pueblo.,https://www.denverpost.com/2021/11/18/pueblo-police-shooting/,"1300 block of West 18th Street, Pueblo CO",38.2835279,-104.6253319